,noop,aioli,mlf,sjf,to,toagg,twins,idxmax
662,1860.7272727272727,20514.909090909092,21450.272727272728,22875.727272727272,22254.636363636364,17403.727272727272,21965.0,sjf
663,1880.4545454545455,20255.909090909092,21199.545454545456,22390.272727272728,22241.727272727272,16958.090909090908,22670.727272727272,twins
664,1882.7272727272727,19778.545454545456,22165.727272727272,23164.272727272728,23240.0,17051.454545454544,23113.090909090908,to
665,1819.6363636363637,20420.0,20941.272727272728,22759.909090909092,22277.454545454544,17254.272727272728,22237.272727272728,sjf
666,1839.4545454545455,20297.636363636364,20722.0,22786.18181818182,22322.81818181818,17069.545454545456,21924.81818181818,sjf
667,1836.090909090909,20285.272727272728,20562.727272727272,22852.545454545456,22484.18181818182,17737.81818181818,22505.272727272728,sjf
668,1879.0,19695.272727272728,20631.636363636364,22817.18181818182,21877.636363636364,17186.363636363636,22027.090909090908,sjf
669,1911.0,19514.272727272728,22099.909090909092,23622.272727272728,23034.090909090908,17000.363636363636,23320.545454545456,sjf
670,1877.090909090909,19781.81818181818,20509.18181818182,23236.81818181818,22063.727272727272,17348.0,21947.363636363636,sjf
671,1850.3636363636363,19840.545454545456,20600.636363636364,22357.727272727272,22225.545454545456,17982.545454545456,22498.090909090908,twins
672,1809.4545454545455,20646.0,20404.18181818182,22680.909090909092,22397.363636363636,17568.727272727272,22261.636363636364,sjf
673,1924.5454545454545,20010.090909090908,20646.0,22822.272727272728,22171.0,17325.727272727272,22445.363636363636,sjf
674,1942.909090909091,20069.363636363636,21157.363636363636,23247.090909090908,22813.727272727272,17366.545454545456,22884.636363636364,sjf
675,1876.8181818181818,20904.636363636364,21568.272727272728,23011.454545454544,22027.363636363636,17386.545454545456,21753.363636363636,sjf
676,1855.090909090909,21834.090909090908,21535.18181818182,22866.272727272728,21848.727272727272,17578.0,22489.909090909092,sjf
677,1828.1818181818182,21273.81818181818,21826.909090909092,22582.090909090908,22810.636363636364,16788.363636363636,22358.545454545456,to
678,1845.4545454545455,21336.636363636364,21829.363636363636,22268.727272727272,22358.272727272728,17504.909090909092,22376.272727272728,twins
679,1913.0,21119.18181818182,22153.18181818182,22735.727272727272,23506.636363636364,17399.090909090908,22964.090909090908,to
680,1894.1818181818182,21547.272727272728,21599.454545454544,23189.363636363636,22147.454545454544,17313.909090909092,22040.909090909092,sjf
681,1831.4545454545455,21384.636363636364,21786.454545454544,23322.363636363636,22170.363636363636,17267.545454545456,22195.272727272728,sjf
682,1831.6363636363637,21466.18181818182,21242.090909090908,22706.454545454544,22379.363636363636,17552.363636363636,21820.909090909092,sjf
683,1841.090909090909,21078.363636363636,21622.272727272728,23185.454545454544,22495.545454545456,17506.0,22329.636363636364,sjf
684,1903.1818181818182,21007.363636363636,21951.909090909092,23478.727272727272,23018.18181818182,17088.363636363636,22927.090909090908,sjf
685,1883.6363636363637,20600.545454545456,21119.81818181818,22160.0,22405.81818181818,17406.272727272728,22147.090909090908,to
686,1948.3636363636363,21434.363636363636,20885.363636363636,23129.81818181818,22324.272727272728,17449.545454545456,22142.727272727272,sjf
687,1939.7272727272727,20515.363636363636,21452.272727272728,22635.0,22076.090909090908,17546.090909090908,22184.18181818182,sjf
688,1909.5454545454545,20728.363636363636,21166.272727272728,22635.909090909092,22484.090909090908,17607.363636363636,22452.0,sjf
689,1885.090909090909,20684.363636363636,21074.727272727272,23054.272727272728,23376.454545454544,17512.636363636364,23129.454545454544,to
690,1847.4545454545455,20526.363636363636,21168.090909090908,22556.545454545456,21655.090909090908,17785.636363636364,22237.090909090908,sjf
691,1862.909090909091,20746.18181818182,21003.18181818182,22916.363636363636,22274.272727272728,17492.454545454544,22148.727272727272,sjf
692,1845.8181818181818,20578.363636363636,21169.272727272728,22893.81818181818,22146.363636363636,18170.545454545456,21572.090909090908,sjf
693,1856.2727272727273,21299.454545454544,21506.81818181818,22841.272727272728,22187.909090909092,17731.272727272728,22382.81818181818,sjf
694,1932.4545454545455,20461.090909090908,22275.272727272728,23762.272727272728,22898.363636363636,17982.81818181818,22828.545454545456,sjf
695,1835.090909090909,20258.0,21049.18181818182,22668.636363636364,22378.727272727272,18261.909090909092,22417.454545454544,sjf
696,1832.909090909091,20276.272727272728,20862.363636363636,22569.363636363636,22151.727272727272,18338.727272727272,22279.454545454544,sjf
697,1834.0,20664.090909090908,20877.272727272728,22562.727272727272,22506.272727272728,18067.363636363636,21828.545454545456,sjf
698,1890.3636363636363,20514.727272727272,20636.636363636364,22938.0,22867.636363636364,18316.363636363636,22270.81818181818,sjf
699,1854.2727272727273,20138.18181818182,21497.363636363636,23608.090909090908,23289.0,18060.727272727272,22970.454545454544,sjf
700,1890.909090909091,21606.81818181818,22014.909090909092,22816.727272727272,21647.81818181818,18436.81818181818,22306.272727272728,sjf
701,1828.5454545454545,21667.18181818182,21758.81818181818,23258.81818181818,22277.0,18098.18181818182,23055.545454545456,sjf
702,1836.1818181818182,21574.363636363636,21942.454545454544,23215.909090909092,22120.363636363636,18049.81818181818,22231.81818181818,sjf
703,1870.1818181818182,21528.636363636364,21628.18181818182,22979.909090909092,22205.81818181818,17871.090909090908,22658.454545454544,sjf
704,1846.909090909091,21303.909090909092,22122.81818181818,23227.363636363636,22688.636363636364,18376.363636363636,22761.545454545456,sjf
705,1827.6363636363637,21470.272727272728,21588.18181818182,22619.363636363636,22193.636363636364,18157.363636363636,21986.909090909092,sjf
706,1832.5454545454545,21713.0,21203.18181818182,22256.545454545456,22013.545454545456,18154.727272727272,21773.909090909092,sjf
707,1816.7272727272727,21616.81818181818,21541.81818181818,22810.636363636364,22435.0,18460.81818181818,21884.0,sjf
708,1922.090909090909,21793.81818181818,21713.454545454544,22721.545454545456,22280.272727272728,18002.363636363636,22011.636363636364,sjf
709,1877.4545454545455,21143.363636363636,21910.727272727272,23586.454545454544,23329.636363636364,18130.909090909092,22915.636363636364,sjf
710,1870.1818181818182,20971.090909090908,21343.0,23305.18181818182,21797.363636363636,18451.18181818182,21591.545454545456,sjf
711,1875.2727272727273,20745.636363636364,21298.81818181818,22999.81818181818,22382.0,18038.272727272728,22001.727272727272,sjf
712,1846.909090909091,21939.636363636364,21680.18181818182,22749.727272727272,22296.81818181818,17888.81818181818,22394.727272727272,sjf
713,1856.0,20845.272727272728,20982.0,23021.272727272728,22147.545454545456,17974.545454545456,22479.727272727272,sjf
714,1934.8181818181818,20527.18181818182,21547.090909090908,23214.363636363636,22544.636363636364,18256.090909090908,22756.727272727272,sjf
715,1881.0,20609.0,21189.090909090908,23115.909090909092,21928.363636363636,18442.272727272728,22028.81818181818,sjf
716,1796.909090909091,20879.454545454544,21039.363636363636,22575.090909090908,21764.363636363636,18095.090909090908,21909.363636363636,sjf
717,1816.2727272727273,20811.545454545456,21283.545454545456,22807.727272727272,22209.81818181818,18482.909090909092,21972.363636363636,sjf
718,1879.1818181818182,20742.81818181818,21599.909090909092,22593.454545454544,22648.636363636364,18328.727272727272,22694.363636363636,twins
719,1656.0,20362.727272727272,21453.545454545456,22491.81818181818,23396.545454545456,18231.0,23237.636363636364,to
